"Tabel 16 Akumlasi Jumlah Transaksi Penerima Pinjaman (satuan akun)
,4. Riau,"  9,270,347 ","  9,418,758 ","  9,566,292 ","  9,726,345 ","  9,911,252 ","  10,084,889 ","  10,278,501 ","  10,549,406 ","  10,744,596 ","  10,958,880 ","  11,232,905 ","  11,617,165 ","  11,864,648 "
,5. Kepulauan Riau,"  7,300,441 ","  7,411,059 ","  7,511,023 ","  7,615,357 ","  7,731,565 ","  7,845,859 ","  7,983,607 ","  8,131,984 ","  8,261,695 ","  8,424,058 ","  8,601,532 ","  8,606,435 ","  8,771,919 "
,6. Kepualauan Bangka Belitung,"  2,339,615 ","  2,373,882 ","  2,406,380 ","  2,439,608 ","  2,475,691 ","  2,515,932 ","  2,557,285 ","  2,728,671 ","  2,766,083 ","  2,824,589 ","  2,757,904 ","  2,870,202 ","  2,921,652 "
,7. Jambi,"  4,895,976 ","  4,973,397 ","  5,051,489 ","  5,135,136 ","  5,233,589 ","  5,314,557 ","  5,411,101 ","  5,549,192 ","  5,648,626 ","  5,762,776 ","  5,891,262 ","  6,152,581 ","  6,284,116 "
,8. Sumatera Selatan,"  17,465,698 ","  17,648,291 ","  17,826,935 ","  17,994,497 ","  18,225,802 ","  18,406,457 ","  18,620,092 ","  18,935,182 ","  19,141,992 ","  19,391,092 ","  19,709,577 ","  20,320,785 ","  20,632,528 "
,9. Bengkulu,"  2,191,589 ","  2,225,042 ","  2,258,668 ","  2,293,467 ","  2,334,740 ","  2,371,548 ","  2,414,785 ","  2,480,748 ","  2,524,180 ","  2,573,622 ","  2,634,123 ","  2,818,130 ","  2,879,128 "
,10. Lampung,"  13,829,596 ","  13,978,378 ","  14,130,629 ","  14,295,173 ","  14,468,604 ","  14,634,133 ","  14,810,825 ","  15,110,478 ","  15,298,532 ","  15,508,930 ","  15,766,804 ","  16,934,927 ","  17,205,659 "
,11. Kalimantan Barat,"  5,888,744 ","  5,974,501 ","  6,058,694 ","  6,145,639 ","  6,249,947 ","  6,348,124 ","  6,457,512 ","  6,610,932 ","  6,718,563 ","  6,847,016 ","  6,997,081 ","  7,322,729 ","  7,461,872 "
,12. Kalimantan Tengah,"  3,260,227 ","  3,313,580 ","  3,366,779 ","  3,427,073 ","  3,494,301 ","  3,551,131 ","  3,621,053 ","  3,717,395 ","  3,786,648 ","  3,858,663 ","  3,956,663 ","  4,142,235 ","  4,225,078 "
,13. Kalimantan Utara,"  695,483 ","  707,692 ","  718,625 ","  728,376 ","  774,288 ","  752,309 ","  768,377 ","  791,401 ","  807,818 ","  827,864 ","  850,153 ","  896,828 ","  915,285 "
,14. Kalimantan Timur,"  9,646,498 ","  9,797,416 ","  9,941,049 ","  10,105,894 ","  10,292,603 ","  10,444,377 ","  10,650,218 ","  10,917,300 ","  11,115,353 ","  11,346,664 ","  11,607,810 ","  11,868,197 ","  12,100,372 "
,15. Kalimantan Selatan,"  7,702,074 ","  7,815,759 ","  7,927,131 ","  8,042,115 ","  8,181,015 ","  8,298,351 ","  8,435,886 ","  8,621,502 ","  8,763,710 ","  8,927,483 ","  9,098,388 ","  9,158,716 ","  9,334,599 "
,16. Sulawesi Utara,"  5,434,104 ","  5,514,573 ","  5,587,132 ","  5,669,089 ","  5,785,142 ","  5,855,868 ","  5,953,547 ","  6,116,754 ","  6,217,630 ","  6,324,904 ","  6,476,238 ","  6,704,960 ","  6,829,988 "
,17. Gorontalo,"  1,156,512 ","  1,183,393 ","  1,209,743 ","  1,237,149 ","  1,270,271 ","  1,294,977 ","  1,326,555 ","  1,371,443 ","  1,407,199 ","  1,444,823 ","  1,489,478 ","  1,539,916 ","  1,578,048 "
,18. Sulawesi Tengah,"  1,971,060 ","  2,011,791 ","  2,053,357 ","  2,101,165 ","  2,153,116 ","  2,187,581 ","  2,240,016 ","  2,319,109 ","  2,376,249 ","  2,441,832 ","  2,521,802 ","  2,623,323 ","  2,689,112 "
,19. Sulawesi Barat,"  587,639 ","  600,146 ","  612,203 ","  626,548 ","  647,515 ","  649,715 ","  666,407 ","  690,739 ","  709,235 ","  728,204 ","  751,567 ","  804,697 ","  828,094 "
,20. Sulawesi Selatan,"  11,517,888 ","  11,697,701 ","  11,870,110 ","  12,052,686 ","  12,292,276 ","  12,490,064 ","  12,719,204 ","  13,055,759 ","  13,295,436 ","  13,543,597 ","  13,858,233 ","  14,217,199 ","  14,523,341 "
,21. Sulawesi Tenggara,"  1,540,873 ","  1,572,083 ","  1,602,234 ","  1,640,239 ","  1,678,846 ","  1,715,337 ","  1,760,165 ","  1,820,719 ","  1,869,012 ","  1,919,494 ","  1,983,526 ","  2,086,456 ","  2,144,846 "
,22. Bali,"  9,190,233 ","  9,350,298 ","  9,498,290 ","  9,672,539 ","  9,867,492 ","  10,032,075 ","  10,235,178 ","  10,385,776 ","  10,574,527 ","  10,805,274 ","  11,063,107 ","  10,709,135 ","  10,943,079 "
,23. Nusa Tenggara Barat,"  3,468,628 ","  3,525,225 ","  3,581,699 ","  3,643,563 ","  3,701,495 ","  3,764,837 ","  3,835,865 ","  4,096,086 ","  4,173,536 ","  4,271,984 ","  4,221,223 ","  4,337,041 ","  4,424,336 "
,24. Nusa Tenggara Timur,"  1,572,882 ","  1,609,468 ","  1,646,312 ","  1,687,006 ","  1,735,308 ","  1,772,978 ","  1,820,653 ","  1,932,796 ","  1,987,581 ","  2,043,321 ","  2,111,370 ","  2,302,640 ","  2,361,279 "
,25. Maluku Utara,"  548,300 ","  562,421 ","  576,390 ","  591,282 ","  611,631 ","  624,753 ","  644,720 ","  671,495 ","  692,849 ","  717,457 ","  744,625 ","  776,104 ","  798,320 "
,26. Maluku,"  981,308 ","  998,879 ","  1,016,707 ","  1,034,251 ","  1,075,377 ","  1,076,855 ","  1,100,808 ","  1,138,406 ","  1,164,281 ","  1,190,933 ","  1,227,382 ","  1,329,087 ","  1,356,768 "
,27. Papua Barat,"  544,019 ","  555,656 ","  567,974 ","  580,978 ","  598,967 ","  608,977 ","  624,637 ","  638,367 ","  654,934 ","  669,462 ","  689,269 ","  779,759 ","  795,519 "
,28. Papua,"  1,478,246 ","  1,501,868 ","  1,526,462 ","  1,552,399 ","  1,592,360 ","  1,613,411 ","  1,649,106 ","  1,690,199 ","  1,727,210 ","  1,767,764 ","  1,814,270 ","  1,881,177 ","  1,915,321 "
,29. Papua Tengah,,,,,,,,"  10,923 ","  13,335 ","  15,865 ","  18,698 ","  85,111 ","  90,354 "
,30. Papua Pegunungan,,,,,,,,"  1,825 ","  2,333 ","  2,885 ","  3,466 ","  10,753 ","  11,466 "
,31. Papua Selatan,,,,,,,,"  3,450 ","  4,490 ","  5,547 ","  6,697 ","  39,813 ","  41,794 "
,32. Papua Barat Daya,,,,,,,,"  11,104 ","  12,042 ","  14,912 ","  17,846 ","  50,957 ","  53,931 "
,JUMLAH,"  872,328,649 ","  882,544,241 ","  891,766,171 ","  901,558,065 ","  913,802,708 ","  922,495,285 ","  933,812,537 ","  948,166,037 ","  958,001,161 ","  971,075,900 ","  985,326,426 ","  998,895,879 ","  1,013,430,034 "
,,,,,,,,,,,,,,
Catatan :,,,,,,,,,,,,,,
1. Data yang disajikan termasuk Syariah,,,,,,,,,,,,,,
2. Terdapat revisi data periode Mei dan Juni 2024,,,,,,,,,,,,,,
